Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Seattle Grip & Lighting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1050 W Nickerson St Seattle WA 98119,"(47.654739300000003, -122.3709909)"
Union Cultural Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,803 South King St Seattle WA 98104,"(47.598221299999999, -122.32212199999999)"
"HeART, the Gallery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,570 1st Ave A Seattle WA 98104,"(47.596302799999997, -122.3338311)"
Laundry Room Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Planet Afua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6716 Rainier Ave S Seattle WA 98118,"(47.542033099999998, -122.272057)"
Howard House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,604 2nd Ave Seattle WA 98104,"(47.602618999999997, -122.3323144)"
Nagomi Tea House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,519 6th Ave S #200 Seattle WA 98104,"(47.597732399999998, -122.326797)"
Sub Pop Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2013 4th Ave Third Floor Seattle WA 98121,"(47.613246099999998, -122.3409939)"
Rain City Rock Camp for Girls,(206) 659-5471,www.raincityrockcamp.org,1200,Central District,Y,Music,2014,R,1940,2016,2008,2,0,0,N,0,N,0,Y,N,N,,N,4,,,,,,,0,300 19th Ave Seattle WA 98122,"(47.604444299999997, -122.3074673)"
Landmark Seven Gables Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,911 NE 50th St Seattle WA 98105,"(47.664755499999998, -122.31770849999999)"
LUCID Lounge,(206) 402-3042,www.lucidseattle.com,1100,University District,N,Performance,2008,R,2000,2018,2008,0,1,50,Y,250,Y,0,Y,Y,Y,,N,5,,,,,,,0,5241 University Way NE Seattle WA 98105,"(47.667625600000001, -122.3132962)"
Master Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2264 15th Ave W Seattle WA 98119,"(47.640528750000001, -122.3758254)"
MLK Community Center-Ewajo Dance Center and F.A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3201 E Republican St Seattle WA 98112,"(47.623008200000001, -122.2907548)"
Jupiter Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4000 Wallingford Ave North Seattle WA 98013,"(47.655831800000001, -122.3360715)"
Kirsten Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5320 Roosevelt Way NE Seattle WA 98105,"(47.667725300000001, -122.3170573)"
Landmark Varsity Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4329 University Way NE Seattle WA 98105,"(47.660713899999998, -122.3135097)"
AMC Pacific Place 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600 Pine St #400 Seattle WA 98101,"(47.612874150000003, -122.3352762)"
Seattle Scenic Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2105 S Grand St Seattle WA 98144,"(47.586828079999997, -122.3044908)"
Slim's Last Chance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5606 1st Ave S Seattle WA 98108,"(47.552484700000001, -122.3339033)"
WaMu Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1000 Occidental Ave S Seattle WA 98134,"(47.593601, -122.3334874)"
Landmark Guild 45th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2115 N 45th St Seattle WA 98103,"(47.661120150000002, -122.33301280000001)"
Lo-Fi Performance Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,429 Eastlake Ave E Seattle WA 98109,"(47.622920899999997, -122.32933439999999)"
Makerhaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,122 NW 36th St Seattle WA 98107,"(47.653451599999997, -122.3585927)"
Regal Meridian 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 7th Ave Seattle WA 98101,"(47.611766199999998, -122.33386830000001)"
Paragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2125 Queen Anne Ave N Seattle WA 98109,"(47.637868599999997, -122.3571792)"
Pilchuck Glass School Office (CLOSED/MOVED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/14/16,1,430 Yale Ave N Seattle WA 98109,"(47.622801199999998, -122.3302142)"
Southeast Seattle Community Youth Orchestra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Seattle Arts & Lectures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,205 S Findlay St Seattle WA 98108,"(47.552460799999999, -122.3317069)"
Seattle Film Institute,(206) 568-4387,www.seattlefilminstitute.com,10000,Interbay,N,Arts Ed,2013,O,1974,,1994,3,2,96,N,0,Y,6,Y,Y,N,,N,5,,,,,,,0,3210 16th Ave W Seattle WA 98119,"(47.648918549999998, -122.3771253)"
Stage One Theatre- North Seattle Community College,(206) 934-3708,www.northseattle.edu,,Northgate,Y,Multi-use,1970,O,1970,,1970,0,2,620,Y,,Y,1001,Y,Y,N,,N,4,,,,,,,0,9600 College Way N Seattle WA,"(47.703057600000001, -122.3337619)"
Washington State Arts Alliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1204 Minor Ave Seattle WA 98101,"(47.611594699999998, -122.3252001)"
Nu Black Arts West Theatre,(206) 329-3328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,843 Hiawatha Pl. S Suite #305 Seattle WA 98144,"(47.594673, -122.309662)"
Seattle Teaching Artist Network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Left Bank Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,92 Pike St Seattle WA 98101,"(47.6088801, -122.3403995)"
Ostara Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7025 1st Ave NW Seattle WA 98117,"(47.680338399999997, -122.3577114)"
"Seattle Pacific University McKinley Hall-Kreider Art Gallery, E.E. Bach Theater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3307 3rd Ave West Seattle WA 98119,"(47.648994199999997, -122.3617027)"
Sisko Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3126 Elliot Ave Seattle WA 98121,"(47.618363799999997, -122.35722680000001)"
New West Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5142 47th Ave NE Seattle WA 98105,"(47.667236899999999, -122.2770498)"
AMC Loews Oak Tree 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10006 Aurora Ave N Seattle WA 98133,"(47.7018421, -122.3424979)"
Little Red Hen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7115 Woodlawn Ave NE Seattle WA 98115,"(47.680228900000003, -122.32488309999999)"
National Film Festival for Talented Youth (NFFTY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1319 Dexter Ave N Seattle WA 98109,"(47.631159449999998, -122.34268419999999)"
Rare Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1321 E Pine St Seattle WA 98122,"(47.615114200000001, -122.3145155)"
Sanctuary Art Center,(206) 522-6256,www.sanctuaryartcenter.org,2500,University District,Y,Arts/Cultural Training or Education,1999,R,1942,2016,1999,0,0,0,N,,Y,40,Y,N,N,,Y,5,,,,,,,0,1604 NE 50th St Seattle WA 98105,"(47.665288500000003, -122.31043769999999)"
Seattle Aquarium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1483 Alaskan Way Seattle WA 98101,"(47.601799200000002, -122.33660829999999)"
Seattle Fandango Project in El Centro De La Raza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2524 16th Ave S Seattle WA 98144,"(47.580339799999997, -122.31129780000001)"
Tin Hat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,512 NW 65th St Seattle WA 98117,"(47.676080599999999, -122.3629711)"
Wilder Sound Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3429 Airport Way S Seattle WA 98134,"(47.572853100000003, -122.3231882)"
Seward Park Clay Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5900 Lake Washington Blvd S Seattle WA 98118,"(47.549485500000003, -122.2518888)"
501 Commons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,510 2nd Ave W Seattle WA 98119,"(47.623673199999999, -122.35909530000001)"
Heartland (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5306 Roosevelt Way NE Seattle WA 98105,"(47.667390150000003, -122.31709840000001)"
New Orleans Creole Restaurant + Jazz Music (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/14,1,114 First Ave S Seattle WA 98104,"(47.596516200000003, -122.3341906)"
Northwest Tap Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8732 Rainier Ave S Seattle WA 98118,"(47.524338200000003, -122.2695039)"
Stonington Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,125 S Jackson St Seattle WA 98104,"(47.598918400000002, -122.3331591)"
Cleopatra Park Audio Recording,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Urban Wilderness Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Hengda Dance Academy,(206) 287-9998,www.hengdadance.com,1100,International District,Y,Arts Ed,1995,R,1985,2024,1993,3,0,,N,0,I don't know.,1,N,N,N,,Y,5,,,,,,,0,815 S Weller St Seattle WA 98104,"(47.597269300000001, -122.321963)"
Gansango Music & Dance,(206) 417-4679,www.gansango.com,286,Northgate,N,Performance,2009,O,2008,,2000,1,0,,N,0,N,2,Y,N,N,,Y,5,,,,,,,0,1243 NE 130th St Seattle WA 98125,"(47.722808149999999, -122.31348920000001)"
BallardWorks LLC,(206) 784-9987,www.ballardworks.org,14000,Ballard,Other,Studios,2004,O,1961,,2003,0,0,,Y,501,Partial,6,Y,Y,N,,N,5,,,,,,,0,2856 NW Market St Seattle WA 98107,"(47.668891500000001, -122.3954081)"
Highland Park Improvement Club,(206) 762-9825,www.hpic1919.org,3000,Highland Park,Y,Multi-use,1919,O,1970,,1919,0,1,100,N,0,Partial,15,Y,Y,Y,,N,3,,,,,,,0,1116 SW Holden St Seattle WA 98106,"(47.534221600000002, -122.3500717)"
Ballard Alki Lodge IOOF-Ballard-Alki Lodge #170,(206) 782-9646,www.seattleoddfellows.org,2251,Ballard,Y,Multi-use,1903,O,1903,,1819,0,0,,Y,451,Partial,0,Y,Y,N,,N,5,,,,,,,0,1706 NW Market St Seattle WA 98107,"(47.6689407, -122.3793225)"
Cafe Racer Espresso,(206) 523-5282,www.caferacerseattle.com,2000,Rosetown,Other,Performance,2004,R,1970,,2004,20,1,20,Y,1200,Partial,2,Y,N,Y,,N,3,,,,,,,0,5828 Roosevelt Way NE Seattle WA 98105,"(47.671468949999998, -122.31712539999999)"
Egyptian Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,805 East Pine St Seattle WA 98122,"(47.614953100000001, -122.3217473)"
Cassandria Blackmore Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1115 East Pike St Seattle WA 98122,"(47.6139358, -122.3174302)"
Arthur Murray Dance Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,130 Western Ave W Seattle WA 98119,"(47.619412699999998, -122.35835659999999)"
Meter Music School,(206) 355-6088,www.metermusicschool.com,1500,Central District,N,Music,2011,R,1920,2019,2011,0,0,0,Y,300,I don't know.,0,Y,Y,N,,N,4,,,,,,,0,2110 E Union St Seattle WA 98122,"(47.613135999999997, -122.304382)"
The Northwest School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1415 Summit Ave Seattle WA 98122,"(47.613392900000001, -122.3259406)"
Fucko Alley Gallery,,www.fuckoskateboards.com,400,Northgate,Y,Visual,2013,R,1900,,2013,0,0,0,Y,400,N,0,N,N,N,,N,4,,,,,,,0,Alley of 10525 Ashworth Ave N Seattle WA 98133,"(47.706052800000002, -122.3397162)"
Highway 99 Blues Club,(206) 382-2171,www.highwayninetynine.com,6000,Downtown,N,Music,2004,R,1909,2015,2001,0,1,160,Y,350,Y,0,Y,Y,Y,,N,4,,,,,,,0,1414 Alaskan Way Seattle WA 98101,"(47.601799200000002, -122.33660829999999)"
South Seattle Community College Little Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6000 16th Ave SW Seattle WA 98106,"(47.551038400000003, -122.3518643)"
Windows Art Gallery,(206) 632-7332,www.windowsart.com,800,Wallingford,N,Multi-use,1989,O,1920,,1989,0,0,0,Y,600,Partial,0,Y,Y,Y,,N,4,,,,,,,0,4131 Woodland Park Ave N Seattle WA 98103,"(47.657583500000001, -122.34489499999999)"
Ballard Rock Rooms/Birds Nest,(206) 369-7588,,8800,Ballard,N,Music,2014,O,1940,,2013,0,0,0,N,0,Y,0,N,Y,N,,N,5,,,,,,,0,632 NW 46th St Seattle WA 98107,"(47.662481700000001, -122.3655177)"
Superior Audio Service,(206) 369-7588,https://www.facebook.com/SuperiorAudioService,18000,Ballard,N,Music,2008,R,1920,2017,2006,1,0,0,N,0,N,0,N,N,N,,N,5,,,,,,,0,645 NW 45th St Seattle WA 98107,"(47.661254300000003, -122.3656412)"
Phinney Neighborhood Association,(206) 783-2244,www.phinneycenter.org,40656,Phinney Ridge,Y,Multi-use,1981,O,1904,,1980,0,1,150,Y,1250,Partial,140,Y,Y,N,,N,5,,,,,,,0,6532 Phinney Ave N Seattle WA 98103,"(47.677132999999998, -122.35398960000001)"
Urban Artworks in Inscape,(206) 292-4142,www.urbanartworks.org,,International District,Y,Arts Ed,2012,R,1932,2017,1995,5,0,0,N,0,Y,0,N,Y,N,,Y,4,,,,,,,0,815 Seattle Blvd S B7 Seattle WA 98134,"(47.595116949999998, -122.3270859)"
Ltd. Art Gallery (CLOSED),(206) 457-2970,www.ltdartgallery.com,1100,Capitol Hill,N,Visual,2011,R,2008,2014,2011,0,0,0,Y,1000,Y,1,Y,Y,N,,N,1,,,,,,3/1/15,1,307 E Pike St Seattle WA 98122,"(47.613892800000002, -122.32711740000001)"
Patricia Rovzar Gallery,(206) 223-0273,www.rovzargallery.com,2470,Downtown,N,Visual,2006,R,1910,2016,1992,1,0,0,Y,2470,,0,Y,N,N,,N,5,,,,,,,0,1225 2nd Ave Seattle WA 98101,"(47.606925099999998, -122.3372059)"
Versatile Arts,(866) 887-5256,www.versatilearts.net,3000,Greenwood,N,Studios,2008,R,,2017,2007,1,0,0,N,0,Partial,0,Y,Y,N,,N,4,,,,,,,0,7601 Greenwood Ave N Suite 103 Seattle WA 98103,"(47.684140599999999, -122.3555094)"
Georgetown Arts and Cultural Center,(206) 851-1538,www.georgetownartcenter.org,2500,Georgetown,Y,Visual,2012,R,1904,2017,2007,1,0,0,Y,300,N,20,Y,Y,N,,N,4,,,,,,,0,5809 Airport Way S Seattle WA 98108,"(47.550434500000001, -122.3182596)"
City Hall Lobby Gallery & Anne Focke Gallery,,http://www.seattle.gov/arts/publicart/city_hall.asp,,Downtown,Other,Visual,2005,Other,2005,,1971,,0,0,Y,1392,Y,0,Y,Y,N,,N,5,,,,,,,0,600 4th Ave Seattle WA 98104,"(47.603884899999997, -122.3300938)"
Ethnic Heritage Art Gallery at Seattle Municipal Tower,(206) 684-7171,http://www.seattle.gov/ethnicartgallery/,,Downtown,Other,Visual,2009,Other,1991,,2009,0,0,0,Y,335,Y,,Y,N,N,,N,5,,,,,,,0,700 5th Ave Seattle WA 98104,"(47.605016249999998, -122.3295729)"
Capitol Club (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/14/13,1,414 E Pine St Seattle WA 98122,"(47.615394100000003, -122.3260485)"
Electric Tea Garden (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/14,1,1402 E Pike St Seattle WA 98122,"(47.6143, -122.3139168)"
Room 104 Gallery (CLOSED) in Tashiro Kaplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/14,1,306 S. Washington St #104 Seattle WA 98104,"(47.6010201, -122.32983710000001)"
New York Fashion Academy,(206) 352-2636,www.newyorkfashionacademy.com,10000,Ballard,N,Arts/Cultural Training or Education,2005,O,1905,,1979,2,0,0,Y,1500,Partial,0,Y,Y,N,,N,3,,,,,,,0,5201 Ballard Ave NW Seattle WA 98107,"(47.665419149999998, -122.3824426)"
Eritrean Association in Greater Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1528 Valentine Pl S Seattle WA 98144,"(47.588798050000001, -122.3070771)"
"University of Washington 3D4M School of Art, Ceramic Metal Arts Building",(206) 543-0970,www.washington.edu,40000,University District and Laurelhurst/Sand Point,Government,Visual,,Other,1965,,,,,,Y,800,Y,,N,N,N,,N,5,,,,,,,,4205 Mary Gates Memorial Dr NE Seattle WA 98105,"(47.659827300000003, -122.2922528)"
Fetherston Gallery (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/14/16,1,"5701 6th Ave S, Seattle WA 98108","(47.551466400000002, -122.3283134)"
Abmeyer + Wood Fine Art,(206) 628-9501,www.abmeyerwood.com,2500,Downtown,N,Visual,2012,R,1989,2019,2012,1,0,0,Y,2200,Y,0,Y,Y,N,,N,5,,,,,,,0,1210 2nd Ave Seattle WA 98101,"(47.607047799999997, -122.3364073)"
The Studio of Awesome (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/13/16,1,101 N 85th Street #201 Seattle WA 98103,"(47.690379999999998, -122.3577075)"
Daniel Smith Art Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4150 1st Ave S Seattle WA 98134,"(47.565555500000002, -122.33362289999999)"
Planet Art,(206) 782-7455,www.planetart.us,2000,Crown Hill,N,Visual,1994,O,1995,,1984,0,0,0,N,0,N,2,Y,N,N,,N,5,,,,,,,0,2811 NW 93rd St Seattle WA 98117,"(47.696575350000003, -122.3933821)"
SRG Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,110 Union St Suite 300 Seattle WA 98101,"(47.608096400000001, -122.3388114)"
Sunny Arms Artist Cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,707 S. Snoqualmie St Seattle WA 98108,"(47.5616585, -122.3237001)"
Blick Art Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"1600 Broadway Ct Seattle, WA 98122","(47.612170800000001, -122.319849)"
MadArt,(206) 623-1180,www.madartseattle.com,3500,South Lake Union,N,Visual,2014,O,2014,,2009,1,0,0,Y,2000,Y,3,Y,Y,Y,,N,5,,,,,,,0,325 Westlake Ave N Seattle WA 98109,"(47.6217088, -122.3389018)"
Massive Monkees Studios,Unavailable,www.massivemonkees.com,2200,Chinatown International District,N,Performance,2013,R,1950,2015,2001,0,0,0,Y,200,Partial,0,Y,Y,N,,N,3,,,,,,,0,664 S King St Seattle WA 98104,"(47.598602, -122.324135)"
The Studios,(206) 582-3878,www.thestudios.org,10000,Downtown,N,Multi-use,2014,R,1912,2024 with an option to renew for another 10 years,2013,1,1,120,N,0,Y,0,Y,Y,N,,N,4,,,,,,,0,"1801 5th Avenue Seattle, WA 98101","(47.612720400000001, -122.3378104)"
Rainier Glass Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 Airport Way S Seattle WA 98134,"(47.575605299999999, -122.3206151)"
The White Rabbit (CLOSED),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/13/16,1,513 N 36th St Seattle WA 98103,"(47.651356399999997, -122.35159849999999)"
Art Stall Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,97 Pike Pl Seattle WA 98101,"(47.609449699999999, -122.34183659999999)"
Conrow Porcelain Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1429 34th Ave Seattle WA 98122,"(47.613737, -122.2895678)"
Dakota Art Store,(206) 523-4830,www.dakotaartstores.com,2000,Ballard,N,Visual,2011,R,1930,2017,1990,3,0,0,N,0,Y,0,Y,N,N,,N,4,,,,,,,0,2000 NW Market St Seattle WA 98107,"(47.668669999999999, -122.382344)"
Seattle Pottery Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35 S Hanford St Seattle WA 98134,"(47.574917599999999, -122.33762520000001)"
Ballard Academy of Music & Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2404 NW 80th St Seattle WA 98117,"(47.686922899999999, -122.38782209999999)"
Open Books,(206) 633-0811,www.openpoetrybooks.com,950,Wallingford,N,Literary,1995,O,1907,,1987,1,0,0,N,0,Y,0,Y,N,N,,N,5,,,,,,,0,2414 N 45th St Seattle WA 98103,"(47.661555700000001, -122.32948570000001)"
Victory Studios,(206) 282-1776,www.victorystudios.com,26000,Interbay,N,Multi-use,1990,O,1965,,1978,1,1,125,N,,Y,40,Y,Y,N,,N,5,,,,,,,0,2247 15th Ave W Seattle WA 98119,"(47.6402468, -122.37663980000001)"
University of Washington School of Music & Brechemin Auditorium,(206) 543-1201,www.music.washington.edu,71904,University District,Government,Arts/Cultural Training or Education,1950,O,1950,,,1,1,220,N,,Partial,0,N,N,N,,N,5,,,,,,,0,"University of Washington School of Music
 Music Building
 Box 353450
 Seattle WA 98195","(47.655335000000001, -122.30352000000001)"
Jamtown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12729 Lake City Way NE Seattle WA 98125,"(47.722147, -122.2941323)"
Roaring Mouse Creative Arts Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7526 20th Ave NE Seattle WA 98115,"(47.6839218, -122.30641989999999)"
Glasshouse Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,311 Occidental Ave S Seattle WA 98104,"(47.599704500000001, -122.33313029999999)"
Seattle Atelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1426 S Jackson St Seattle WA 98144,"(47.599469800000001, -122.3127638)"
Densho: The Japanese American Legacy Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1416 S. Jackson St. Seattle WA 98144,"(47.599421399999997, -122.3133875)"
Comet Tavern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,922 E Pike St Seattle WA 98122,"(47.614265500000002, -122.31973360000001)"
University Book Store,(206) 685-9920,www.ubookstore.com,90000,University District,N,Literary,1924,O,1920,,1900,3,,,N,,Y,94,Y,N,Y,,N,5,,,,,,,0,4326 University Way NE Seattle WA 98105,"(47.6604253, -122.3128269)"
Christian Grevstad Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312 Occidental Ave S Seattle WA 98104,"(47.599507600000003, -122.3326934)"
Northwest Art & Frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4733 California Ave SW Seattle WA 98116,"(47.560178200000003, -122.387154)"
The Art Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"4630 NE Village Ln, Seattle, WA 98105","(47.662673900000001, -122.29911370000001)"
Wikstrom Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5411 Meridian Ave. N. Seattle WA 98103,"(47.668387899999999, -122.3339953)"
eXit Space School of Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,414 NE 72nd St Seattle WA 98115,"(47.680846799999998, -122.32384740000001)"
My World Dance and Fitness Studio,(206) 861-2500,www.myworld-df.com,600,Central District,N,Multi-use,2008,R,2008,No single race is more than 50% of our audience.,2008,0,0,0,N,0,Y,0,N,Y,N,,Y,,,,,,,,0,849 Hiawatha Pl S Seattle WA 98144,"(47.595162999999999, -122.309673)"
Juan Alonso Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,214 1st Ave S Suite B15 Seattle WA 98104,"(47.600471200000001, -122.333963)"
Ace Studios Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,619 Western Ave 3rd Fl Seattle WA 98104,"(47.602335600000004, -122.33582749999999)"
Living Computer Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2245 1st Ave S Seattle WA 98134,"(47.5825204, -122.334653)"
Artist & Craftsman Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4350 8th Ave NE Seattle WA 98105,"(47.659987299999997, -122.319659)"
Seattle Yarn,(206) 935-2010,www.seattleyarn.com,1800,West Seattle,N,Arts/Cultural Training or Education,1998,R,1982,12/31/16,1998,0,0,0,N,0,Y,5,Y,N,N,,N,3,,,,,,,0,5633 California Ave SW Seattle WA 98136,"(47.551148499999996, -122.38740629999999)"
Clearwater Film LLC,,,400,,N,Multi-use,2007,R,1900,,2005,,,200,N,,Y,,,N,N,,Y,2,,,,,,,,1515 12th Ave Seattle WA 98102,"(47.614429000000001, -122.31725299999999)"
University of Washington Meany Hall,(206) 543-4880,www.artsuw.org,58026,University District,Government,Performance,1974,O,1974,,1861,1,2,1495,Y,2562,Y,900,N,Y,Y,,Y,5,,,,,,,0,"4140 George Washington Ln NE, Seattle, WA 98105","(47.655709000000002, -122.310569)"
Keys on Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11 Roy St Seattle WA 98109,"(47.625345799999998, -122.3561735)"
Emerald City Trapeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2702 6th Ave South Seattle WA 98134,"(47.579594, -122.32556719999999)"
The Ballet Studio,(206) 329-9166,www.theballetstudio.com,1300,University District,N,Studios,1992,R,,,,2,0,,N,,N,,N,Y,N,,N,3,,,,,,,,4556 University Way NE Seattle WA 98105,"(47.662847200000002, -122.3127576)"
Anthony Peters' Tap Dance Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6600 1st Ave NE Seattle WA 98115,"(47.6777479, -122.3280274)"
Seattle University Bookstore,(206) 296-5820,www.seattleucampusstore.com,10000,Capitol Hill,Y,Literary,1891,O,1960,,1891,1,0,,N,,Partial,0,N,N,N,,N,1,,,,,,,0,823 12th Ave Seattle WA 98122,"(47.6100244, -122.3172211)"
University of Washington Kane Walker-Ames Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4069 Spokane Ln Seattle WA 98105,"(47.65663, -122.30915400000001)"
Khambatta Dance Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5609 34th Ave SW Seattle Washington 98126,"(47.551597999999998, -122.375336)"
Wall of Sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1205 E Pike St #1C Seattle WA 98122,"(47.613922000000002, -122.316429)"
Everyday Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1520 10th Ave Seattle WA 98122,"(47.614745999999997, -122.319069)"
Design In Public,(206) 448-4938 x107,www.designinpublic.org,2500,Belltown,Y,Arts/Cultural Training or Education,2011,R,1993,10/31/15,2011,0,0,0,Y,500,Y,0,Y,N,Y,,I don't know.,4,,,,,,,0,1911 1st Ave Seattle WA 98101,"(47.610492999999998, -122.341634)"
Brace Point Pottery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4208 SW 100th St Seattle WA 98146,"(47.513939000000001, -122.38636)"
